"timestamp","price","size","side","vix"
1441915201113497,195175,185,"A",2470
1441915201355161,195125,33,"A",2470
1441915201578605,195125,20,"A",2470
1441915201715996,195100,6,"B",2470
1441915201730323,195150,2,"A",2470
1441915201934364,195100,196,"A",2470
1441915202154225,195100,1,"A",2470
1441915202318127,195125,17,"A",2470
1441915202334628,195100,36,"A",2470
1441915202543856,195075,2,"B",2470
1441915202719078,195125,100,"B",2470
1441915203335498,195100,93,"B",2470
1441915203539559,195100,106,"B",2470
1441915203978302,195075,28,"B",2470
1441915203991968,195075,2,"B",2470
1441915204202292,195075,1,"B",2470
1441915204417426,195100,1,"A",2470
1441915204636808,195100,4,"B",2470
1441915204641333,195125,2,"A",2470
1441915205077179,195100,4,"B",2470
1441915205311793,195125,36,"A",2470
1441915205755518,195125,1,"A",2470
1441915206149456,195100,2,"A",2470
1441915206354699,195075,2,"A",2470
1441915206573710,195025,1,"B",2470
1441915206793613,195050,1,"B",2470
1441915207257582,195050,2,"B",2475
1441915207671974,195100,1,"A",2475
1441915207891788,195075,27,"A",2475
1441915208329210,195050,33,"B",2475
1441915208353149,195050,2,"B",2475
1441915208864753,195050,1,"A",2475
1441915209297213,195025,111,"A",2475
1441915209527323,195000,1,"B",2475
1441915209761562,195025,1,"A",2475
1441915209975929,195000,2,"B",2475
1441915210194742,195025,23,"A",2475
1441915210636652,195025,76,"A",2475
1441915211168952,194975,14,"A",2475
1441915211551108,194975,3,"A",2475
1441915211768651,195000,1,"B",2475
1441915211991417,195000,12,"B",2475
1441915212416780,195000,30,"B",2475
1441915212855803,195025,1,"A",2475
1441915213075001,195025,2,"A",2475
1441915214940005,195050,1,"B",2475
1441915215816568,195050,1,"B",2475
1441915217161956,195075,2,"B",2475
1441915218455999,195175,1,"B",2470
1441915219336896,195200,4,"B",2470
1441915220211125,195175,1,"B",2470
1441915220654578,195200,2,"A",2470
1441915221091932,195200,1,"A",2470
1441915221972428,195200,30,"A",2470
1441915223288576,195175,1,"B",2470
1441915223725849,195175,1,"B",2470
1441915223734102,195200,1,"A",2470
1441915224602449,195150,1,"A",2470
1441915225596907,195150,4,"A",2470
1441915226495928,195125,3,"A",2470
1441915226935600,195125,7,"A",2470
1441915227801203,195100,30,"A",2470
1441915228910892,195100,25,"A",2470
1441915230683286,195100,6,"A",2470
1441915231121506,195100,1,"A",2470
1441915231561876,195075,1,"A",2470
1441915232301927,195050,50,"A",2470
1441915233181768,195025,10,"B",2470
1441915233621101,195050,1,"A",2470
1441915234502087,195000,1,"B",2470
1441915235163539,195025,2,"A",2470
1441915235324013,195025,75,"B",2470
1441915236200223,195000,2,"A",2470
1441915236426285,194975,6,"B",2470
1441915237554669,194975,1,"B",2470
1441915237772876,194975,32,"B",2470
1441915238213045,195000,1,"A",2470
1441915238650706,194975,3,"B",2470
1441915240538663,195000,3,"A",2470
1441915241633133,194975,3,"B",2475
1441915243875416,194975,1,"B",2475
1441915245370818,195000,1,"A",2475
1441915245589963,194975,20,"B",2475
1441915246027981,194975,3,"B",2475
1441915246897020,195000,143,"B",2475
1441915247355314,195000,193,"B",2475
1441915248936384,195000,40,"A",2475
1441915249370466,195025,1,"A",2475
1441915250250223,194975,10,"A",2475
1441915252698826,194975,1,"A",2475
1441915253396715,194975,5,"A",2475
1441915253616140,194950,4,"B",2475
1441915254853304,194975,2,"A",2475
1441915255511111,194975,5,"A",2475
1441915255958720,194950,23,"B",2475
1441915256178375,194975,26,"B",2475
1441915257432280,194975,1,"A",2475
1441915257866726,194975,4,"A",2475
1441915259182813,194950,1,"A",2475
1441915259387180,194925,1,"B",2475
1441915259395274,194950,199,"B",2475
1441915260488166,194975,1,"A",2475
1441915263563795,194975,10,"A",2475
1441915264880690,194975,2,"A",2475
1441915265988873,194925,1,"B",2475
1441915267081927,194950,2,"A",2475
1441915271213469,194950,2,"B",2480
1441915273452181,194950,1,"B",2480
1441915274333254,194975,50,"B",2480
1441915275645953,195000,3,"A",2480
1441915277111526,194975,3,"A",2480
1441915277335232,194975,137,"A",2480
1441915278427039,194950,3,"B",2480
1441915279576039,194975,1,"A",2480
1441915280230661,194975,1,"A",2480
1441915281818171,194950,1,"B",2480
1441915282764004,194975,2,"B",2480
1441915283859198,194975,84,"A",2480
1441915286054228,194975,1,"B",2480
1441915286716848,195000,1,"A",2480
1441915287672863,194950,17,"A",2480
1441915287903502,194925,1,"B",2480
1441915288114987,194950,1,"A",2480
1441915288332647,194950,2,"A",2480
1441915288772200,194925,2,"B",2480
1441915290309008,194950,11,"B",2480
1441915291205297,194950,1,"B",2480
1441915292303112,194975,5,"A",2480
1441915293184890,194950,1,"B",2480
1441915294593895,194975,5,"A",2480
1441915295860077,195000,1,"A",2480
1441915297044252,195025,3,"A",2480
1441915297957167,195000,9,"A",2480
1441915298395328,194975,4,"B",2480
1441915302490744,195000,1,"A",2480
1441915303367289,195025,1,"A",2480
1441915304701643,195000,1,"B",2480
1441915304931052,195025,2,"B",2480
1441915305162131,195025,1,"B",2480
1441915307203083,195025,2,"B",2480
1441915307204016,195025,38,"B",2480
1441915308083217,195050,2,"A",2480
1441915308972098,195050,60,"A",2480
1441915310919572,195050,2,"A",2480
1441915310927190,195000,13,"B",2480
1441915311576259,195050,7,"A",2480
1441915313548361,195050,1,"A",2480
1441915314424112,195025,1,"B",2480
1441915315530103,195025,6,"B",2480
1441915316413665,195050,35,"A",2480
1441915317900414,195050,11,"B",2480
1441915319414337,195075,2,"A",2480
1441915320072541,195075,2,"A",2480
1441915322303703,195075,5,"A",2480
1441915322743908,195050,11,"B",2480
1441915323152373,195050,58,"B",2475
1441915324256873,195125,1,"A",2470
1441915325351971,195125,23,"A",2470
1441915326025175,195125,12,"A",2470
1441915326469521,195100,1,"B",2470
1441915328683288,195100,25,"A",2470
1441915329563547,195050,28,"B",2470
1441915330463021,195075,2,"B",2470
1441915330673473,195075,20,"B",2470
1441915332056417,195100,10,"A",2470
1441915333809709,195100,5,"A",2470
1441915335363003,195075,1,"B",2465
1441915337267284,195100,2,"A",2465
1441915341448752,195100,1,"B",2465
1441915342402607,195125,2,"A",2465
1441915347007029,195125,1,"B",2465
1441915348110250,195175,1,"A",2460
1441915348329882,195175,2,"A",2460
1441915348895907,195125,3,"B",2460
1441915349770337,195150,1,"A",2460
1441915350658211,195150,2,"A",2460
1441915352557519,195150,2,"B",2460
1441915353219908,195175,3,"A",2465
1441915355247857,195150,1,"B",2465
1441915355510051,195175,1,"A",2465
1441915356622629,195175,5,"A",2465
1441915359340895,195175,1,"A",2465
1441915360641874,195150,2,"B",2465
1441915361737441,195125,8,"A",2465
1441915363933441,195125,1,"B",2465
1441915367263233,195125,31,"A",2460
1441915369064360,195100,1,"B",2460
1441915372307998,195125,1,"A",2460
